Lokalizacja
Dębowiec 
Debrzno 
Deszczno 
Długie 
Długołęka 
Dobierzyn 
Dobra 
Dobrogościce 
Dobroszyce 
Dobrzyniewo Duże 
Domaszczyn 
Dopiewiec 
Dopiewo 
Drawiny 
Dręszew 
Drochowo 
Drogusza 
Droszków 
Dylągówka 
Dywity 
Działdowo 
Działosza 
Działoszyn 
Dzierżoniów 
Dziśnity 
Dziuplina 
Dziwiszów 
Dziwnów 
Elbląg 
Ełk 
Falenty Nowe 
Flisy 
Florczaki 
Frydrychowice 
Gaiki 
Gajewo 
Gałązki Wielkie 
Gałków Mały 
Garby 
Gąski 
Gaszowice 
Gawłów 
Gdańsk
Gdańsk 
Gdynia
Gdynia 
Giżycko 
Glinik 
Glinki Suche 
Glinnik 
Gliwice
Gliwice 
Głogoczów 
Głogów 
Głosków 
Główczyce 
Głuchołazy 
Głuszyca 
Gniechowice 
Gniew 
Gniewkowo 
Gniezno 
Gnojno 
Goczałkowice
Godki 
Gołaszyn 
Gołdap 
Gołębiewo Wielkie 
Goleniów 
Golub
Gołuchów 
Gołuń 
Gomunice 
Góra Kalwaria 
Góraszka 
Górki Zagajne 
Górowo Iławeckie 
Górsk 
Gorzków
Gorzów Wielkopolski 
Gorzyce Wielkie 
Gościm 
Gostyń 
Gostynin 
Gowarzów 
Gowino 
Gozdnica 
Grabice 
Grabno 
Grabówka 
Grabówki 
Grabowo Kościerskie 
Grajewo 
Grębynice 
Groblice 
Gródek 
Grodzisk Mazowiecki 
Grodzisk Wielkopolski 
Grodzisko 
Grójec 
Grudziądz 
Gryfice 
Gryfino 
Gryfów Śląski 
Grzęda 
Grzędzice 
Grzmucin 
Grzybów 
Grzybowo 
Gulkajmy 
Haczów 
Halinów 
Harkabuz 
Henryk 
Henryków 
Henryszew 
Hornówek 
Iława 
Inowrocław 
Inwałd 
Irządze 
Iwiny 
Izabelin C 
Jabłonna 
Jagodowo 
Jamy 
Janczewo 
Janiki 
Jankowice 
Janocin 
Janów Lubelski 
Janowice 
Januszowice 
Jarocin 
Jarosław 
Jarosławiec 
Jarużyn 
Jaryszki 
Jasień 
Jasionowo 
Jaśkowice 
Jastrzębia Góra 
Jastrzębie
Jastrzębie 
Jastrzębiec 
Jaworze 
Jaworzno 
Jędrzejowice 
Jędrzychów 
Jelcz
Jelenia Góra
Jeleńska Huta 
Jeleśnia 
Jelna 
Jerzmanowice 
Jeżewo 
Jeziórko 
Jodłów 
Jonkowo 
Józefosław 
Józefów 
Kaleń 
Kaletnik 
Kalinówka 
Kalisz 
Kalna 
Kalwaria Zebrzydowska 
Kamieniec 
Kamieniec Wrocławski 
Kamienna Góra 
Kamionka 
Kamionki 
Kanin 
Kaniów 
Karolina 
Karpacz 
Kartuzy 
Karwiany 
Katowice
Katowice 
Kąty Wrocławskie 
Kazimierów 
Kaźmierz 
Kędzierzyn
Kępice 
Kępno 
Kętrzyn 
Kęty 
Kielce 
Kiełczów 
Kiełczówek 
Kielno 
Kiełpino 
Kłanino 
Klasztorek 
Klebark Wielki 
Kleosin 
Klepacze 
Kleszczewo 
Klimontów 
Kliniska Wielkie 
Kłobuck 
Kluczbork 
Kluczkowice 
Knurów 
Kobyłka 
Kobylnica 
Kock 
Kocmyrzów 
Koczała 
Kołaczkowo 
Kołbaskowo 
Kołobrzeg 
Kołoniec 
Komorniki 
Komorów 
Komorowice 
Komprachcice 
Kończyce Małe 
Kończyce Wielkie 
Koniecpol 
Konikowo 
Konin 
Końskie 
Konstancin
Konstantynów Łódzki 
Kopanino 
Koronowo 
Korsze 
Kościerzyna 
Kostomłoty Pierwsze 
Kostrzyca 
Koszalin 
Koszęcin 
Kowalicha 
Kowanówko 
Kownaciska 
Kozienice 
Kozierów 
Kozły 
Kożuchów 
Kozy 
Kraków
Kraków 
Krapkowice 
Krasna 
Krasnobród 
Krasnystaw 
Krępa 
Krężnica Jara 
Krosno 
Krosno Odrzańskie 
Krotoszyn 
Krupe 
Krupiec 
Kruszów 
Kruszwica 
Krzeczyn 
Krzemienica 
Krzeptów 
Krzeszowice 
Krzywiec 
Książnik 
Kucoby 
Kudowa
Kunice 
Kup 
Kurowice 
Kutno 
Kuźnia Raciborska 
Kuźnica Skakawska 
Kwasowo 
Kwidzyn 
Łabiszyn 
Lachowice 
Łąck 
Łącko 
Lądek
Ładzyń 
Łąka 
Łąkorz 
Łańcut 
Łask 
Laski Małe 
Łaszewo 
Łaziska Górne
Łazy 
Łeba 
Lębork 
Łęczna 
Łęczyca 
Lędziny 
Legionowo 
Legnica 
Lekartów 
Łęknica 
Leoncin 
Leszczany I 
Leszno 
Leszno Dolne 
Leszno Górne 
Lesznowola 
Lidzbark Warmiński 
Ligota Mała 
Ligota Piękna 
Lipie 
Lipie Góry 
Lipno 
Lipsko 
Lisów 
Litychowo 
Łochowo 
Łodygowice 
Łódź
Łódź 
Łoje 
Łomianki 
Łomianki Dolne 
Łomża 
Łopatki 
Łopienie
Łosiów 
Łózki 
Lubachów 
Lubań 
Lubaty 
Lubawa 
Łubianka 
Lubikowo 
Lubin 
Lubkowo 
Lublin 
Łubna 
Luboń 
Lubsko 
Łukęcin 
Łuków 
Łukówiec 
Łupki 
Łuszczów Pierwszy 
Łyse 
Łysiec 
Makosieje 
Maków Podhalański 
Mąkowarsko 
Mała Cerkwica 
Mała Huta 
Malbork 
Małęczyn Nowy 
Małkinia Górna 
Marcinkowice 
Marciszów 
Mareza 
Marki 
Masłowo 
Maśnik 
Matysówka 
"Mazewo Dworskie ""A"" "
Mechelinki 
Miastko 
Michałowice 
Międzyborów 
Międzybórz 
Międzylesie 
Międzyrzecz 
Międzyświeć 
Międzyzdroje 
Mielec 
Mieleszki 
Mielno 
Mierzyn 
Miłków 
Miłoradzice 
Mińsk Mazowiecki 
Miodówko 
Mirków 
Mizerów 
Mława 
Modlnica 
Modlniczka 
Modrzewie 
Mogilany 
Mojsławice 
Mokry Dwór 
Mołodiatycze 
Morąg 
Mórkowo 
Mościczki 
Mosina 
Mrągowo 
Mrozów 
Mrozy 
Mrzezino 
Mściszewice 
Murowana Goślina 
Mysłakowice 
Myślęcinek 
Myślenice 
Mystków 
Myszków 
Nadarzyn 
Nadolice Wielkie 
Nakło nad Notecią 
Namysłów 
Narty 
Naterki 
Niedrzwica Duża 
Niedrzwica Kościelna 
Niedźwiedź 
Niegowonice 
Niemce 
Niemcz 
Niemcza 
Niepołomice 
Nieporęt 
Niestkowo 
Niewieścin 
Nisko 
Niwnica 
Nochowo 
Nowa Dęba 
Nowa Iwiczna 
Nowa Ruda 
Nowa Wieś 
Nowa Wieś Rzeczna 
Nowe Gniewniewice 
Nowe Miasto Lubawskie 
Nowe Oborzyska 
Nowy Dwór 
Nowy Dwór Mazowiecki 
Nowy Kamień 
Nowy Kościół 
Nowy Sącz 
Nowy Świat 
Nowy Targ 
Nożyno 
Nysa 
Oblasy 
Obrowo 
Ocięte 
Ocypel 
Ojrzanowo 
Oława 
Olbrachcice 
Olchówka 
Olecko 
Oleśnica
Oleśnica 
Oleśniczka 
Olsztyn 
Olsztynek 
Olszyna Dolna 
Olza 
Opiesin 
Opoczno 
Opole 
Orneta 
Orzesze 
Osie 
Osiedle Bondary 
Osiek 
Osiek Nad Wisłą 
Osiek Wielki 
Osielsko 
Ostróda 
Ostrów Wielkopolski 
Ostrowiec Świętokrzyski 
Ostrowo 
Ostrożanka 
Otomin 
Otręba 
Otwock 
Ożarów Mazowiecki 
Ozimek 
Pabianice 
Pączkowo 
Pakość 
Pasikurowice 
Paszkowszczyzna 
Pawłowiczki 
Pawłowo 
Pelplin 
Pępowo 
Pęzino 
Piaseczno 
Piastów 
Piątkowisko 
Piekary Śląskie 
Pielgrzymowice 
Pieńsk 
Piła 
Pilchowo 
Pilwa 
Pionki 
Piotrków Trybunalski 
Piotrkowice Wielkie 
Piotrowice 
Pisz 
Pławna 
Płock 
Ploski 
Płoty 
Pobiedziska 
Pobierowo 
Podolszyn Nowy 
Podrzecze 
Pogorzela 
Polanica
Police 
Polkowice 
Poniatowa 
Popów 
Porąbka 
Poręba 
Poznań
Poznań 
Prabuty 
Pruchnik 
Pruszcz Gdański 
Pruszków 
Przasnysz 
Przecław 
Przeginia Duchowna 
Przemęt 
Przemków 
Przeworsk 
Przewóz 
Przeździecko
Przyborów 
Przybrodzin 
Przygłów 
Przykory 
Przyłogi 
Psarskie 
Pszczyna 
Puławy 
Pułtusk 
Pustkowie Gęzyńskie 
Puszczykowo 
Pyrzyce 
Pyskowice 
Rąbień AB 
Rabka
Racibórz 
Racławówka 
Rączyna 
Radom 
Radomsko 
Radwanice 
Radzimowice 
Radzymin 
Radzyń Podlaski 
Radzyny 
Rajec Szlachecki 
Raków 
Rakszawa 
Raszyn 
Rawicz 
Rębiechowo 
Rębisze Kolonia 
Reblino 
Reda 
Rejowiec 
Rentyny 
Reszki 
Rogów Sobócki 
Rogoźnik 
Rogoźno 
Rokitki 
Ropczyce 
Rostarzewo 
Rożki
Rożki 
Rożnów 
Rożnowo 
Ruciane
Ruda 
Ruda Śląska 
Rudnik 
Rudzica 
Ruja 
Rumia 
Rumianek 
Rybarzowice 
Rybna 
Rybnik 
Rybno 
Ryczów 
Rydzyna 
Ryn 
Rynarzewo 
Rynia 
Rypin 
Rzepotowice 
Rzeszów 
Samborowo 
Sandomierz 
Sanok 
Sarbinowo 
Sawice
Ściejowice 
Ścinawa 
Sęczkowo 
Sędów 
Sędziszów 
Serock 
Sicienko 
Siedlce 
Siedlec Mały 
Siemianowice Śląskie 
Siemiatycze 
Sieradz 
Sierosław 
Sierpc 
Siewierz 
Skalin 
Skarszewo 
Skarszewy 
Skarżysko
Skawina 
Skierniewice 
Skomielna Czarna 
Skórzec 
Skwierzyna 
Sławno 
Słońsk 
Słońsko 
Słup 
Słupno 
Słupsk 
Śmigiel 
Sobienie Szlacheckie 
Sobolewo 
Sobótka 
Sochaczew 
Sokola 
Sokołów Podlaski 
Sól 
Solec Kujawski 
Sołtyków 
Sopot
Sopot 
Sosnowiec 
Sosnówko 
Spalice 
Środa Wielkopolska 
Srogów Górny 
Stalowa Wola 
Stanisławice 
Stanisławie 
Stanisławowo 
Stara Iwiczna 
Stara Wieś 
Starachowice 
Stargard 
Starkówek 
Starogard Gdański 
Starościn 
Starowa Góra 
Stary Dzików 
Stary Kostrzynek 
Stary Las 
Stary Pilczyn 
Stary Widzim 
Starzykowo 
Stasi Las 
Staszów 
Stawiszyn 
Stobierna 
Stoszyce 
Strachocin 
Straszyn 
Stromiec 
Strumień 
Strzebielino 
Strzegom 
Strzelin 
Strzygi 
Strzyżów 
Studzianki 
Studziany Las 
Studzienice 
Sucha Beskidzka 
Suchedniów 
Suchodoły 
Suchy Las 
Sulechów 
Sulejówek 
Suwałki 
Swarzędz 
Świdnica 
Świdnik 
Świdwin 
Świebodzice 
Świecie 
Świeradów
Świerzna 
Świętochłowice 
Świlcza 
Świniotop 
Świnna Poręba 
Świnoujście 
Sycowa Huta 
Sypniewo 
Szadek 
Szamocin 
Szamotuły 
Szczaki 
Szczecin
Szczecin 
Szczecinek 
Szczekarzewo 
Szczygłów 
Szczytna 
Szczytnica 
Szczytniki 
Szczytno 
Szeligi 
Szerokopas 
Szklarska Poręba 
Szprotawa 
Szyszkowiec 
Tanowo 
Tąpkowice 
Tarnobrzeg 
Tarnów 
Tarnów Jezierny 
Tarnówka 
Tarnowo Podgórne 
Tarnowskie Góry 
Tczew 
Teresin 
Tereszpol
Tokary 
Tomaszewo 
Tomaszów Lubelski 
Tomaszów Mazowiecki 
Toruń 
Trzcianka 
Trzcińsko
Trzebciny 
Trzebinia 
Tuchola 
Tuchom 
Tulniki 
Tur 
Tuszyn 
Twardogóra 
Tychy 
Uciechów 
Ujście 
Uniejów
Unieście 
Urbanowo 
Uście 
Ustka 
Ustrobna 
Ustroń 
Ustrzyki Dolne 
Wąbrzeźno 
Wągrowiec 
Walawa 
Wałbrzych 
Wałcz 
Warchały 
Warszawa
Warszawa 
Wąwelno 
Wąwolnica 
Węgierska Górka 
Węgorzewo 
Wejherowo 
Widawa 
Wieleń 
Wieliczka 
Wielka Wieś 
Wielowieś 
Wieluń 
Wierzchowisko 
Wierzchucice 
Wieszowa 
Wilcza Góra 
Wilczyce 
Wilkasy 
Wilków 
Wilkowice 
Wiszniów 
Witaszyce 
Witkowo 
Witowice 
Władysławowo 
Włocławek 
Włoszakowice 
Włoszczowa 
Włynkówko 
Włynkowo 
Wodzisław Śląski 
Wojanów 
Wojnicz 
Wójtowo 
Wola Krobowska 
Wola Pniewska 
Wołczkowo 
Wolica 
Wolin 
Wólka Kozodawska 
Wołomin 
Wołów 
Wolska Dąbrowa 
Wołucza 
Wręczyca Wielka 
Wrocław
Wrocław 
Wronin 
Wronki 
Września 
Wschowa 
Wymysłowo 
Wyrazów 
Wysoka Strzyżowska 
Wysokie Koło 
Wyszatyce 
Wyszków 
Wyszyna Fałkowska 
Żabia Wola 
Żabice 
Zabierzów Bocheński 
Ząbki 
Żabno 
Zabrze 
Zabrzeg 
Zagnańsk 
Zagościniec 
Zakopane 
Zakrzewo 
Zalasewo 
Załęcze Małe 
Zaleskie 
Załom 
Zambrów 
Zamość 
Żarki 
Żarowo 
Żary 
Zarzysko 
Zaścianki 
Zastruże 
Zator 
Zawada 
Zawiercie
Zawiercie 
Zawoja 
Zażelazna 
Zbiersk 
Zblewo 
Zbytków 
Zdziar Wielki 
Zelów 
Żernica 
Żerniki Wrocławskie 
Zgierz 
Zgorzała 
Zgorzelec 
Zielona Góra 
Zielonka 
Zielonki 
Zławieś Mała 
Złocieniec 
Złotniki Kujawskie 
Złotokłos 
Złotoryja 
Złotów 
Złoty Stok 
Żmijowiec 
Żnin 
Żółwin 
Żory 
Zubowice
Żuki 
Żuromin 
Zwięczyca 
Zwierzyniec Trzeci 
Żychlin 
Żydowo 
Żyrardów 
